Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;3-6-0;3;0;6.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;3-7-0;3;0;6.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;3-8-0;3;0;6.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;3-8-1;3;1;6.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;3-9-0;3;0;6.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;3-9-1;3;1;6.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;3-10-0;3;0;6.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;3-11-0;3;0;6.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;3-12-0;3;0;6.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;3-13-0;3;0;6.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;3-13-1;3;1;6.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;3-14-0;3;0;6.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;3-14-1;3;1;6.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;3-15-0;3;0;6.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;3-16-0;3;0;6.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;3-17-0;3;0;6.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;3-18-0;3;0;6.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;3-19-0;3;0;6.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
Im001;0;3-20-0;3;0;6.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;3-21-0;3;0;6.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
Im001;0;3-21-1;3;1;6.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;3-22-0;3;0;6.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;3-23-0;3;0;6.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;3-24-0;3;0;6.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;3-24-1;3;1;6.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;3-25-0;3;0;6.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
