Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;9-8;9;8;18.00000;3.20267e+03;2.90343;819.00889;0;0.80686;3.15200;J;NA;NA
Im001;0;9-9;9;9;18.00000;3.34201e+03;2.85770;958.34366;0;0.77980;3.17403;K;NA;NA
Im001;0;9-10;9;10;18.00000;3.33263e+03;3.33780;948.96237;0;0.77882;3.67369;L;NA;NA
Im001;0;9-11;9;11;18.00000;2.70512e+03;2.38904;321.45528;0;0.76419;2.71759;M;NA;NA
Im001;0;9-12;9;12;18.00000;2.90800e+03;2.58336;524.33124;0;0.73424;3.00279;N;NA;NA
Im001;0;9-13;9;13;18.00000;3.09169e+03;3.06346;708.02969;0;0.79195;3.35598;O;NA;NA
Im001;0;9-14;9;14;18.00000;2.85775e+03;2.67481;474.08352;0;0.89726;2.59646;P;NA;NA
Im001;0;9-15;9;15;18.00000;2.96212e+03;3.72645;578.45223;0;0.79127;4.10897;Q;NA;NA
Im001;0;9-16;9;16;18.00000;2.62910e+03;4.06937;245.43398;0;0.84453;4.23075;R;NA;NA
Im001;0;9-17;9;17;18.00000;2.89033e+03;2.32046;506.67064;0;0.78143;2.52144;S;NA;NA
Im001;0;9-18;9;18;18.00000;2.44171e+03;2.88057;58.04201;0;0.87602;2.94227;U;NA;NA
Im001;0;9-19;9;19;18.00000;3.01924e+03;3.25778;635.57426;0;0.76255;3.67381;V;NA;NA
Im001;0;9-20;9;20;18.00000;2.90457e+03;2.45763;520.90775;0;0.80069;2.73223;W;NA;NA
Im001;0;10-0;10;0;20.00000;2.74236e+03;2.30902;397.11746;0;0.87999;2.35322;A;NA;NA
Im001;0;10-1;10;1;20.00000;2.78531e+03;4.01222;440.07157;0;0.86280;4.13544;B;NA;NA
Im001;0;10-2;10;2;20.00000;2.75740e+03;2.40047;412.15626;0;0.82648;2.51244;C;NA;NA
Im001;0;10-3;10;3;20.00000;2.77392e+03;2.22901;428.68410;0;0.88800;2.23757;D;NA;NA
Im001;0;10-4;10;4;20.00000;3.02754e+03;2.43476;682.30563;0;0.90637;2.43851;E;NA;NA
Im001;0;10-5;10;5;20.00000;3.06646e+03;4.13796;721.22511;0;0.76952;4.74593;F;NA;NA
Im001;0;10-6;10;6;20.00000;2.75881e+03;4.49231;413.56764;0;0.80659;4.83765;G;NA;NA
Im001;0;10-7;10;7;20.00000;2.81911e+03;3.97792;473.86735;0;0.83972;4.15087;I;NA;NA
Im001;0;10-8;10;8;20.00000;3.04669e+03;2.90343;701.44606;0;0.80686;3.15200;J;NA;NA
Im001;0;10-9;10;9;20.00000;3.27766e+03;2.85770;932.42103;0;0.77980;3.17403;K;NA;NA
Im001;0;10-10;10;10;20.00000;3.27122e+03;3.33780;925.98020;0;0.77882;3.67369;L;NA;NA
Im001;0;10-11;10;11;20.00000;2.64858e+03;2.38904;303.34476;0;0.76419;2.71759;M;NA;NA
Im001;0;10-12;10;12;20.00000;2.85470e+03;2.58336;509.46456;0;0.73424;3.00279;N;NA;NA
Im001;0;10-13;10;13;20.00000;2.98516e+03;3.06346;639.92147;0;0.79195;3.35598;O;NA;NA
Im001;0;10-14;10;14;20.00000;2.84762e+03;2.67481;502.38496;0;0.89726;2.59646;P;NA;NA
Im001;0;10-15;10;15;20.00000;2.93825e+03;3.72645;593.00949;0;0.79127;4.10897;Q;NA;NA
Im001;0;10-16;10;16;20.00000;2.57247e+03;4.06937;227.23013;0;0.84453;4.23075;R;NA;NA
Im001;0;10-17;10;17;20.00000;2.84697e+03;2.32046;501.72654;1;0.78143;2.52144;S;NA;NA
Im001;0;10-18;10;18;20.00000;2.42156e+03;2.88057;76.32055;0;0.87602;2.94227;U;NA;NA
Im001;0;10-19;10;19;20.00000;2.92939e+03;3.25778;584.15401;0;0.76255;3.67381;V;NA;NA
Im001;0;10-20;10;20;20.00000;2.82734e+03;2.45763;482.10056;0;0.80069;2.73223;W;NA;NA
Im001;0;11-0;11;0;22.00000;2.72500e+03;2.30902;374.64029;0;0.87999;2.35322;A;NA;NA
Im001;0;11-1;11;1;22.00000;2.77440e+03;4.01222;424.03705;0;0.86280;4.13544;B;NA;NA
